Ten phim,Nam san xuat,Diem phe binh,Cam xuc phe binh,Diem khan gia,Cam xuc cua khan gia,Ngay ra rap,Ngay phat song,Danh gia,Ngon ngu,Thoi luong phim
Nyad,2023,85.0,positive,87.0,positive,20/10/2023,03/11/2023,PG-13 (Sexual Abuse|Brief Partial Nudity|Some Strong Language|Thematic Material),English,2h 1m
The Pope's Exorcist,2023,50.0,negative,81.0,positive,14/04/2023,02/05/2023,R (Sexual References|Language|Some Nudity|Violent Content),English,1h 43m
My Big Fat Greek Wedding 3,2023,31.0,negative,71.0,positive,08/09/2023,03/11/2023,PG-13 (Suggestive Material|Some Nudity),English,1h 31m
The Nun II,2023,52.0,negative,73.0,positive,08/09/2023,03/10/2023,R (Violent Content|Some Terror),English,1h 50m
Saltburn,2023,85.0,positive,79.0,positive,22/11/2023,22/12/2023,R (Drug Use|Disturbing Violent Content|Graphic Nudity|Language Throughout|Strong Sexual Content),English,2h 11m
The Mother,2023,43.0,negative,62.0,positive,12/05/2023,12/05/2023,R (Violence|Some Language|Brief Drug Use),English,1h 56m
Dungeons & Dragons: Honor Among Thieves,2023,91.0,positive,93.0,positive,31/03/2023,02/05/2023,PG-13 (Some Language|Fantasy Action/Violence),English,2h 14m
Shrapnel,2023,0.0,negative,59.0,negative,28/07/2023,28/07/2023,R (Violence Throughout|Language|Brief Sexuality),English,1h 29m
Inside,2023,62.0,positive,40.0,negative,17/03/2023,04/04/2023,R,English,1h 45m
Family Switch,2023,41.0,negative,43.0,negative,30/11/2023,30/11/2023,PG (Suggestive Material|Some Thematic Elements|Language|Teen Partying),English,1h 41m
Carmen,2023,62.0,positive,64.0,positive,21/04/2023,14/07/2023,R (Language|Some Violence|Nudity),English (Australia),1h 56m
The Burial,2023,92.0,positive,82.0,positive,06/10/2023,13/10/2023,R (Language),English,2h 6m
The Creator,2023,67.0,positive,76.0,positive,29/09/2023,14/11/2023,PG-13 (Strong Language|Some Bloody Images|Violence),English,2h 13m
Buddy Games: Spring Awakening,2023,33.0,negative,69.0,positive,19/05/2023,02/06/2023,R (Language Throughout|Drug Use|Crude Sexual Material|Some Nudity|Violent Material),English,1h 36m
Theater Camp,2023,86.0,positive,79.0,positive,04/08/2023,14/09/2023,PG-13 (Suggestive/Drug References|Some Strong Language),English,1h 34m
The Flash,2023,63.0,positive,83.0,positive,16/06/2023,18/07/2023,PG-13 (Partial Nudity|Action|Sequences of Violence|Some Strong Language),English,2h 24m
Guy Ritchie's The Covenant,2023,83.0,positive,98.0,positive,21/04/2023,09/05/2023,R (Violence|Language Throughout|Brief Drug Content),English,2h 3m
The Beanie Bubble,2023,47.0,negative,56.0,negative,21/07/2023,28/07/2023,R (Language),English,1h 50m
The Hunger Games: The Ballad of Songbirds & Snakes,2023,64.0,positive,89.0,positive,17/11/2023,19/12/2023,PG-13 (Strong Violent Content|Disturbing Material),English,2h 37m
Rumble Through the Dark,2023,64.0,positive,96.0,positive,03/11/2023,10/11/2023,R (Violence|Some Sexual Material|Language),English,1h 56m
The Oath,2023,30.0,negative,85.0,positive,08/12/2023,26/03/2024,PG-13 (Violent Content),English,1h 44m
Sly,2023,81.0,positive,87.0,positive,27/10/2023,03/11/2023,R (Some Language),English,1h 35m
TAYLOR SWIFT | THE ERAS TOUR,2023,99.0,positive,98.0,positive,13/10/2023,13/12/2023,PG-13 (Suggestive Material|Some Strong Language),English,2h 48m
Knights of the Zodiac,2023,21.0,negative,60.0,positive,12/05/2023,27/06/2023,PG-13 (Action/Violence),English,1h 52m
Aquaman and the Lost Kingdom,2023,34.0,negative,81.0,positive,22/12/2023,23/01/2024,PG-13 (Some Language|Sci-Fi Violence),English,2h 4m
Dicks: The Musical,2023,67.0,positive,66.0,positive,20/10/2023,10/11/2023,R (Pervasive Language|Graphic Nudity|Brief Drug Use|Strong Crude Sexual Content),English,1h 26m
El Conde,2023,82.0,positive,62.0,positive,08/09/2023,15/09/2023,R (Sexual Content|Rape|Language|Some Graphic Nudity|Strong Violence and Gore),Spanish,1h 50m
They Cloned Tyrone,2023,95.0,positive,100.0,positive,14/07/2023,21/07/2023,R (Some Sexual Material|Pervasive Language|Drug Use|Violence),English,2h 2m
65,2023,36.0,negative,65.0,positive,10/03/2023,07/04/2023,PG-13 (Intense Sci-Fi Action|Brief Bloody Images|Peril),English,1h 33m
Blue Beetle,2023,77.0,positive,91.0,positive,18/08/2023,26/09/2023,PG-13 (Sequences of Action|Language|Some Suggestive References|Violence),English,2h 7m
BlackBerry,2023,97.0,positive,64.0,positive,12/05/2023,02/06/2023,R (Language Throughout),English,1h 59m
The Magician's Elephant,2023,65.0,positive,82.0,positive,10/03/2023,17/03/2023,PG (Some Action/Peril|Thematic Elements),English,1h 43m
The Color Purple,2023,81.0,positive,95.0,positive,25/12/2023,16/01/2024,PG-13 (Mature Thematic Content|Language|Sexual Content|Violence),English,2h 21m
Strange Way of Life,2023,77.0,positive,54.0,negative,04/10/2023,13/02/2024,R (Language|Bloody Images|Some Sexual Content),English,31m
