Ma phim,Nam san xuat,Nguon xem phim,Ten phim,Diem phe binh,Cam xuc phe binh,Diem khan gia,Cam xuc cua khan gia,Ngay ra rap,Ngay phat song,Danh gia,Ngon ngu,Thoi luong phim
30ef95fc-0ff5-35a3-98f6-d051de8bc1b8,2023,https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_3,Guardians of the Galaxy Vol. 3,8.2,positive,9.4,positive,05/05/2023,07/07/2023,PG-13 (Intense Sequences of Violence|Action|Strong Language|Suggestive/Drug References|Thematic Elements),English,2h 30m
317d7155-533b-396f-8c1c-34a22e2e8ef9,2023,https://www.rottentomatoes.com/m/barbie,Barbie,8.8,positive,8.3,positive,21/07/2023,12/09/2023,PG-13 (Suggestive References|Brief Language),English,1h 54m
34b10090-7360-3802-a99c-e74ad4ea09b2,2023,https://www.rottentomatoes.com/m/you_people_2023,You People,4.0,negative,3.4,negative,20/01/2023,27/01/2023,R (Some Sexual Material|Language Throughout|Drug Content),English,1h 57m
34f0e7cf-195e-463c-9d81-5f283cfd2e34,2023,https://www.rottentomatoes.com/m/past_lives,Past Lives,9.5,positive,8.4,positive,30/06/2023,22/08/2023,PG-13 (Some Strong Language),English,1h 46m
3613e82a-bced-3b59-a20c-1d92aff8b2e7,2023,https://www.rottentomatoes.com/m/war_pony,War Pony,9.3,positive,8.7,positive,28/07/2023,28/07/2023,R (Some Violence|Pervasive Language|Drug and Alcohol Use),English,1h 55m
36556108-98ee-322b-9aba-a56a24351903,2023,https://www.rottentomatoes.com/m/sharper,Sharper,6.9,positive,7.3,positive,10/02/2023,17/02/2023,R (Language Throughout|Some Sexual References),English,1h 56m
3702b80c-5801-34e8-9f60-826c4a17cc2c,2023,https://www.rottentomatoes.com/m/nefarious_2023,Nefarious,3.3,negative,9.6,positive,14/04/2023,02/06/2023,R (Disturbing Violent Content),English,1h 38m
377afa01-8add-3999-84f6-088836769a09,2023,https://www.rottentomatoes.com/m/love_again_2023,Love Again,2.8,negative,9.1,positive,05/05/2023,23/05/2023,PG-13 (Some Strong Language|Some Sexual Material),English,1h 44m
37ce0dac-3010-3863-b544-28fa138e44d3,2023,https://www.rottentomatoes.com/m/house_party_2023,House Party,2.8,negative,6.0,positive,13/01/2023,31/01/2023,R (Pervasive Language|Drug Use|Sexual Material|Some Violence),English,1h 40m
3982b42b-f263-3d4c-a8d0-20b6616449aa,2023,https://www.rottentomatoes.com/m/no_hard_feelings_2023,No Hard Feelings,7.0,positive,8.7,positive,23/06/2023,15/08/2023,R (Language|Brief Drug Use|Sexual Content|Some Graphic Nudity),English,1h 43m
3a3fc627-86e7-386a-af48-29f0dc8f1cea,2023,https://www.rottentomatoes.com/m/consecration,Consecration,4.1,negative,3.2,negative,10/02/2023,19/05/2023,R (Bloody Violent Content|Some Language),English (United Kingdom),1h 30m
3aa49e3e-4434-4880-a5ac-a475c07b309a,2023,https://www.rottentomatoes.com/m/elemental_2023,Elemental,7.3,positive,9.3,positive,16/06/2023,15/08/2023,PG (Some Peril|Brief Language|Thematic Elements),English,1h 41m
3ad9038b-9af8-3c42-a2cb-d139bf3fb8fe,2023,https://www.rottentomatoes.com/m/sweetwater,Sweetwater,2.5,negative,9.5,positive,14/04/2023,02/05/2023,PG-13 (Smoking|Violence|Some Racial Slurs),English,1h 54m
3af5c1bb-184f-40c8-ae26-6939e4229005,2023,https://www.rottentomatoes.com/m/the_canterville_ghost_2023,The Canterville Ghost,5.7,negative,5.0,negative,20/10/2023,05/12/2023,PG,English,1h 34m
3cc333b1-2e33-33d7-ab02-782440c16175,2023,https://www.rottentomatoes.com/m/the_black_demon,The Black Demon,2.8,negative,7.7,positive,28/04/2023,30/05/2023,R (Some Grisly Images),English,1h 40m
3d4c0058-016e-31d4-983e-cb8b52ce5bdf,2023,https://www.rottentomatoes.com/m/rare_objects,Rare Objects,4.0,negative,6.9,positive,14/04/2023,14/04/2023,R (Language and Some Drug Use),English,2h 3m
3eb090f0-20f5-326f-ab7e-b409e60945d8,2023,https://www.rottentomatoes.com/m/reptile_2023,Reptile,4.5,negative,7.1,positive,22/09/2023,29/09/2023,R (Violence|Some Nude Images|Language),English,2h 14m
