Nam san xuat,Nguon xem phim,Ten phim,Diem phe binh,Ngay ra rap,The loai,Ngon ngu,Thoi luong phim
2023,https://www.rottentomatoes.com/m/magic_mikes_last_dance,Magic Mike's Last Dance,4.7,10/02/2023,R (Sexual Material and Language),English,1h 52m
2023,https://www.rottentomatoes.com/m/the_holdovers,The Holdovers,9.7,10/11/2023,R (Language|Brief Sexual Material|Some Drug Use),English,2h 13m
2023,https://www.rottentomatoes.com/m/seriously_red,Seriously Red,5.2,10/02/2023,R (Some Language|Sexual Content|Nudity),English,1h 44m
2023,https://www.rottentomatoes.com/m/nyad,Nyad,8.5,20/10/2023,PG-13 (Sexual Abuse|Brief Partial Nudity|Some Strong Language|Thematic Material),English,2h 1m
2023,https://www.rottentomatoes.com/m/the_popes_exorcist,The Pope's Exorcist,5.0,14/04/2023,R (Sexual References|Language|Some Nudity|Violent Content),English,1h 43m
2023,https://www.rottentomatoes.com/m/my_big_fat_greek_wedding_3,My Big Fat Greek Wedding 3,3.1,08/09/2023,PG-13 (Suggestive Material|Some Nudity),English,1h 31m
2023,https://www.rottentomatoes.com/m/the_nun_ii,The Nun II,5.2,08/09/2023,R (Violent Content|Some Terror),English,1h 50m
2023,https://www.rottentomatoes.com/m/saltburn,Saltburn,7.1,22/11/2023,R (Drug Use|Disturbing Violent Content|Graphic Nudity|Language Throughout|Strong Sexual Content),English,2h 11m
2023,https://www.rottentomatoes.com/m/the_mother_2023,The Mother,4.3,12/05/2023,R (Violence|Some Language|Brief Drug Use),English,1h 56m
2023,https://www.rottentomatoes.com/m/dungeons_and_dragons_honor_among_thieves,Dungeons & Dragons: Honor Among Thieves,9.1,31/03/2023,PG-13 (Some Language|Fantasy Action/Violence),English,2h 14m
2023,https://www.rottentomatoes.com/m/shrapnel,Shrapnel,0.0,28/07/2023,R (Violence Throughout|Language|Brief Sexuality),English,1h 29m
2023,https://www.rottentomatoes.com/m/inside_2023,Inside,6.2,17/03/2023,R,English,1h 45m
2023,https://www.rottentomatoes.com/m/family_switch,Family Switch,4.1,30/11/2023,PG (Suggestive Material|Some Thematic Elements|Language|Teen Partying),English,1h 41m
2023,https://www.rottentomatoes.com/m/carmen_2022_2,Carmen,6.2,21/04/2023,R (Language|Some Violence|Nudity),English (Australia),1h 56m
2023,https://www.rottentomatoes.com/m/the_burial_2023,The Burial,9.2,06/10/2023,R (Language),English,2h 6m
2023,https://www.rottentomatoes.com/m/the_creator_2023,The Creator,6.7,29/09/2023,PG-13 (Strong Language|Some Bloody Images|Violence),English,2h 13m
2023,https://www.rottentomatoes.com/m/buddy_games_spring_awakening,Buddy Games: Spring Awakening,3.3,19/05/2023,R (Language Throughout|Drug Use|Crude Sexual Material|Some Nudity|Violent Material),English,1h 36m
2023,https://www.rottentomatoes.com/m/theater_camp,Theater Camp,8.6,04/08/2023,PG-13 (Suggestive/Drug References|Some Strong Language),English,1h 34m
2023,https://www.rottentomatoes.com/m/the_flash_2023,The Flash,6.3,16/06/2023,PG-13 (Partial Nudity|Action|Sequences of Violence|Some Strong Language),English,2h 24m
2023,https://www.rottentomatoes.com/m/guy_ritchies_the_covenant,Guy Ritchie's The Covenant,8.3,21/04/2023,R (Violence|Language Throughout|Brief Drug Content),English,2h 3m
2023,https://www.rottentomatoes.com/m/the_beanie_bubble,The Beanie Bubble,4.7,21/07/2023,R (Language),English,1h 50m
2023,https://www.rottentomatoes.com/m/the_hunger_games_the_ballad_of_songbirds_and_snakes,The Hunger Games: The Ballad of Songbirds & Snakes,6.4,17/11/2023,PG-13 (Strong Violent Content|Disturbing Material),English,2h 37m
2023,https://www.rottentomatoes.com/m/rumble_through_the_dark,Rumble Through the Dark,6.4,03/11/2023,R (Violence|Some Sexual Material|Language),English,1h 56m
2023,https://www.rottentomatoes.com/m/the_oath_2023,The Oath,3.0,08/12/2023,PG-13 (Violent Content),English,1h 44m
2023,https://www.rottentomatoes.com/m/sly_2023,Sly,8.1,27/10/2023,R (Some Language),English,1h 35m
2023,https://www.rottentomatoes.com/m/taylor_swift_the_eras_tour,TAYLOR SWIFT | THE ERAS TOUR,9.9,13/10/2023,PG-13 (Suggestive Material|Some Strong Language),English,2h 48m
2023,https://www.rottentomatoes.com/m/knights_of_the_zodiac,Knights of the Zodiac,2.1,12/05/2023,PG-13 (Action/Violence),English,1h 52m
2023,https://www.rottentomatoes.com/m/aquaman_and_the_lost_kingdom,Aquaman and the Lost Kingdom,3.4,22/12/2023,PG-13 (Some Language|Sci-Fi Violence),English,2h 4m
2023,https://www.rottentomatoes.com/m/dicks_the_musical,Dicks: The Musical,6.7,20/10/2023,R (Pervasive Language|Graphic Nudity|Brief Drug Use|Strong Crude Sexual Content),English,1h 26m
2023,https://www.rottentomatoes.com/m/el_conde,El Conde,8.2,08/09/2023,R (Sexual Content|Rape|Language|Some Graphic Nudity|Strong Violence and Gore),Spanish,1h 50m
2023,https://www.rottentomatoes.com/m/they_cloned_tyrone,They Cloned Tyrone,9.5,14/07/2023,R (Some Sexual Material|Pervasive Language|Drug Use|Violence),English,2h 2m
2023,https://www.rottentomatoes.com/m/65,65,3.6,10/03/2023,PG-13 (Intense Sci-Fi Action|Brief Bloody Images|Peril),English,1h 33m
