movieId,movieYear,movieURL,movieTitle,critic_score,critic_sentiment,audience_score,audience_sentiment,release_date_theaters,release_date_streaming,rating,original_language,runtime
13fb4f3b-efbf-337b-b7c6-6f47511f398b,2023,https://www.rottentomatoes.com/m/quasi,Quasi,41,negative,60,positive,,20-Apr-23,R (Crude and Sexual Content|Violence|Language),English,
141856dd-f65e-4481-8331-6a24e6852a8e,2023,https://www.rottentomatoes.com/m/foe_2023,Foe,25,negative,56,negative,"Oct 6, 2023, Limited",7-Nov-23,R (Language|Some Sexual Content|Nudity),English,1h 50m
1469d68d-fbb2-428e-b36d-57e48fb7a6ce,2023,https://www.rottentomatoes.com/m/him_and_her,About Him & Her,,,100,positive,,11-Apr-23,,English,1h 37m
14e87cf5-9d15-3f57-9307-e449ed3f2f33,2023,https://www.rottentomatoes.com/m/good_grief_2023,Good Grief,76,positive,70,positive,"Dec 29, 2023, Limited",5-Jan-24,R (Language|Brief Drug Use),English,1h 40m
15267f83-191e-3f0a-94c2-57674708553f,2023,https://www.rottentomatoes.com/m/scream_vi,Scream VI,76,positive,91,positive,"Mar 10, 2023, Wide",25-Apr-23,R (Language Throughout|Brief Drug Use|Strong Bloody Violence),English,2h 3m
152da77b-87a1-4c82-8274-1a2137153de6,2023,https://www.rottentomatoes.com/m/kokomo_city,KOKOMO CITY,99,positive,70,positive,"Jul 28, 2023, Limited",14-Nov-23,R (Language Throughout|Graphic Nudity|Drug Use|Strong Sexual Content),English,1h 13m
15735db5-6100-3e9a-93bb-ffd052c723c7,2023,https://www.rottentomatoes.com/m/the_iron_claw_2023,The Iron Claw,89,positive,94,positive,"Dec 22, 2023, Wide",13-Feb-24,R (Language|Drug Use|Some Sexuality|Suicide),English,2h 12m
15ca6a61-d65e-3c88-a2e5-66b90fa2b9c2,2023,https://www.rottentomatoes.com/m/expend4bles,Expend4bles,13,negative,70,positive,"Sep 22, 2023, Wide",13-Oct-23,R (Sexual Material|Language|Strong/Bloody Violence),English,1h 43m
15ef8941-65ce-4e10-b83e-0ccd2597d56f,2023,https://www.rottentomatoes.com/m/somebody_i_used_to_know,Somebody I Used To Know,69,positive,60,positive,,10-Feb-23,R,English,1h 46m
161a004e-bb99-36f4-a271-a448dfe18da5,2023,https://www.rottentomatoes.com/m/warhorse_one,Warhorse One,20,negative,71,positive,"Jun 30, 2023, Limited",4-Jul-23,R,English,2h 6m
163f28e3-5a5b-3639-9127-16bfad785e8f,2023,https://www.rottentomatoes.com/m/batman_the_doom_that_came_to_gotham,Batman: The Doom That Came to Gotham,77,positive,49,negative,,28-Mar-23,PG-13 (Language|Disturbing Images|Brief Partial Nudity|Some Strong Violence),English,1h 26m
1680796c-a2c8-3900-a0c8-181d1b638e13,2023,https://www.rottentomatoes.com/m/sheroes_2022,Sheroes,40,negative,47,negative,"Jun 23, 2023, Limited",23-Jun-23,R (Pervasive Language|Nudity|Drug Use|Sexual Content|Some Violence),English,1h 31m
1721bfe4-b35d-3870-a812-a6162add7897,2023,https://www.rottentomatoes.com/m/chor_nikal_ke_bhaga,Chor Nikal Ke Bhaga,67,positive,83,positive,,24-Mar-23,,Hindi,1h 50m
18905446-6f59-4765-a3ab-ed0ad66f2062,2023,https://www.rottentomatoes.com/m/wild_boys_2023,Wild Boys,100,positive,100,positive,,9-Mar-23,,English,1h 24m
18de577b-2d18-32c9-b21e-262b2ff40719,2023,https://www.rottentomatoes.com/m/the_ritual_killer,The Ritual Killer,9,negative,20,negative,"Mar 10, 2023, Limited",10-Mar-23,,English,1h 32m
18feea39-2bce-3a1c-b0e2-46dd69d41c18,2023,https://www.rottentomatoes.com/m/showdown_at_the_grand,Showdown at the Grand,100,positive,74,positive,"Nov 10, 2023, Limited",10-Nov-23,,English,1h 32m
19a5a392-884b-4664-9f80-53b36b80e2f2,2023,https://www.rottentomatoes.com/m/leo_2023,Leo,82,positive,90,positive,"Nov 17, 2023, Limited",21-Nov-23,PG (Rude/Suggestive Material|Some Language),English,1h 46m
